[[[ 0.61883499  0.87990223  0.06429609  0.47625197  0.79269962]],0.221850354378]
[[[ 0.95689703  0.94981041  0.46761079  0.19658094  0.34712552]],0.238246550248]
[[[ 0.13470266  0.79540944  0.32218878  0.8904023   0.43822309]],0.235580357523]
[[[ 0.72639117  0.01524699  0.6044267   0.23612089  0.75144883]],0.340503784104]
[[[ 0.53172263  0.88085135  0.77681316  0.58212422  0.95756364]],0.215980354724]
[[[ 0.81860213  0.58696307  0.67396611  0.56235655  0.89501928]],0.217692988698]
[[[ 0.52178081  0.07461126  0.76818099  0.8546052   0.15526917]],0.515252738591]
[[[ 0.62599344  0.06134256  0.75707281  0.20271228  0.13565994]],0.312270708606]
[[[ 0.41913388  0.79079939  0.3478361   0.20825359  0.00704673]],0.32843091222]
[[[ 0.63647169  0.3475135   0.5824818   0.13497749  0.2619764 ]],0.226095716156]
[[[ 0.69246637  0.68289724  0.21354801  0.89552121  0.68044895]],0.21356268828]
[[[ 0.7586336   0.98025124  0.57578231  0.56675357  0.3823657 ]],0.229654412894]
[[[ 0.06322811  0.6088832   0.04979088  0.62713328  0.29531805]],0.267126822984]
[[[ 0.07267514  0.02086822  0.85474923  0.7768335   0.21645975]],0.12687284299]
[[[ 0.47022799  0.89250053  0.22352306  0.81835116  0.89716048]],0.213741528976]
[[[ 0.58256327  0.44544667  0.93861682  0.77247759  0.7057181 ]],0.213644003265]
[[[ 0.82031115  0.11641973  0.42760253  0.69952792  0.00643871]],0.27716095926]
[[[ 0.76446716  0.41054491  0.3485562   0.04871215  0.14727837]],0.231095737142]
[[[ 0.59919663  0.8687625   0.10139053  0.78494017  0.87259822]],0.214022968825]
[[[ 0.16225378  0.73166096  0.30323858  0.78571412  0.54971516]],0.22863749168]
[[[ 0.8331405   0.04657498  0.29841796  0.35403118  0.44708835]],0.226763133909]
[[[ 0.23628358  0.92200249  0.21191395  0.93544763  0.47754835]],0.222475388084]
[[[ 0.13856568  0.64804468  0.07139798  0.3419263   0.83641084]],0.231911256741]
[[[ 0.53584905  0.64497917  0.86380149  0.56968162  0.86882872]],0.216450831679]
[[[ 0.18653251  0.11702875  0.18320248  0.41484746  0.41767216]],0.21578843003]
[[[ 0.78956921  0.4966044   0.57265755  0.15687115  0.78747948]],0.221011013576]
[[[ 0.12441242  0.37993179  0.84832639  0.18559019  0.25850229]],0.279616519997]
[[[ 0.17420521  0.14552131  0.09189287  0.90613751  0.23602907]],0.255618007955]
[[[ 0.5023062   0.35237689  0.00460539  0.44081869  0.48865027]],0.280518343626]
[[[ 0.68153954  0.68035528  0.2540567   0.99522555  0.86945214]],0.213167924742]
[[[ 0.74141664  0.81855935  0.95063884  0.53283084  0.19875159]],0.243212347028]
[[[ 0.46565893  0.17859422  0.87728111  0.79806326  0.53291535]],0.370068467971]
[[[ 0.6614628   0.12789761  0.9598293   0.78752528  0.27369698]],0.673360452098]
[[[ 0.62398656  0.5624828   0.57878214  0.26123423  0.98956171]],0.217655858849]
[[[ 0.46669056  0.60988272  0.28631496  0.74592884  0.9046619 ]],0.215210850744]
[[[ 0.3304534   0.75083128  0.41912352  0.86632577  0.46423571]],0.21585025832]
[[[ 0.83741695  0.09035021  0.824523    0.67631682  0.5796931 ]],0.751399320755]
[[[ 0.68150256  0.76230149  0.15857234  0.99412303  0.32861917]],0.228537905755]
[[[ 0.08948278  0.47127294  0.79402994  0.14587089  0.98764688]],0.171218191655]
[[[ 0.01602441  0.00628402  0.49821064  0.23550142  0.77868028]],0.112416429354]
[[[ 0.83423918  0.59056238  0.19749811  0.51569635  0.26911099]],0.235427205958]
[[[ 0.87523709  0.17311851  0.50318536  0.2195701   0.98709357]],0.207796169585]
[[[ 0.04692836  0.54618783  0.130793    0.52796013  0.67691073]],0.274587746051]
[[[ 0.28705215  0.31146117  0.7018813   0.57664587  0.87718325]],0.197321108584]
[[[ 0.386629    0.65252743  0.01303709  0.04242258  0.81104113]],0.233484153141]
[[[ 0.96430555  0.78693437  0.22588587  0.40298204  0.59017175]],0.224647600923]
[[[ 0.7232767   0.39965256  0.74303959  0.2498812   0.96341748]],0.216163323702]
[[[ 0.42316084  0.10347305  0.642335    0.31027802  0.82640045]],0.376618941553]
[[[ 0.68486477  0.72058708  0.86702278  0.58999919  0.46371839]],0.221549459913]
[[[ 0.71726718  0.3161727   0.38550309  0.29308958  0.85263744]],0.218515196246]
[[[ 0.39639402  0.76557546  0.75607569  0.03931799  0.23561159]],0.230603357038]
[[[ 0.67244239  0.13456596  0.1534388   0.59098086  0.84363874]],0.216453097278]
[[[ 0.42748572  0.66032302  0.92961635  0.62504894  0.14057996]],0.236671928621]
[[[ 0.28279027  0.9203058   0.11189943  0.3811856   0.8043363 ]],0.221552710963]
[[[ 0.70984346  0.51393558  0.23347839  0.47496882  0.71044897]],0.217741381072]
[[[ 0.44931339  0.7363076   0.75836255  0.40676602  0.37489637]],0.218985899782]
[[[ 0.21482651  0.07435973  0.23169833  0.69238314  0.95395084]],0.215021625468]
[[[ 0.9984023   0.36614316  0.11391299  0.24697932  0.08105414]],0.273782176669]
[[[ 0.59956273  0.12158244  0.696603    0.27616623  0.76809768]],0.690883411561]
[[[ 0.10929228  0.7174498   0.44539638  0.44622562  0.34900933]],0.238074508461]
[[[ 0.78010277  0.16146512  0.00875828  0.97013987  0.63507394]],0.218700531471]
[[[ 0.40643973  0.99775859  0.37418222  0.70517393  0.23614875]],0.237516960886]
[[[ 0.61896828  0.57144741  0.63068938  0.53341814  0.69335313]],0.217261546643]
[[[ 0.54932542  0.93770159  0.51343568  0.22234862  0.76176456]],0.217251830795]
[[[ 0.32133562  0.02555922  0.30175063  0.55982652  0.81450125]],0.3055240111]
[[[ 0.27120732  0.61911642  0.73452622  0.59974402  0.55796304]],0.215165499809]
[[[ 0.7040072   0.25399906  0.6900579   0.40270026  0.48293221]],0.205398982799]
[[[ 0.75191731  0.44320227  0.64479573  0.32403334  0.96803363]],0.21851306654]
[[[ 0.21496615  0.31769094  0.07016684  0.33792993  0.72240097]],0.213185694076]
[[[ 0.72955887  0.92325396  0.14320522  0.33788733  0.36870914]],0.231089942587]
[[[ 0.12838543  0.31294125  0.34166894  0.15405953  0.8944915 ]],0.215400856238]
[[[ 0.50464628  0.41023982  0.36230431  0.71137471  0.58453227]],0.216725589361]
[[[ 0.90869322  0.45926553  0.84503634  0.63731811  0.33472631]],0.22784338248]
[[[ 0.58555969  0.10974328  0.37982438  0.9481087   0.97620494]],0.216911035191]
[[[ 0.26205702  0.04056245  0.86375217  0.95889707  0.17948131]],0.198742357053]
[[[ 0.37214328  0.75774248  0.64243597  0.28501183  0.93845526]],0.216068505931]
[[[ 0.4956688   0.64055083  0.74479261  0.67844146  0.13004605]],0.24654709466]
[[[ 0.10507353  0.61844175  0.7329657   0.12545234  0.06185276]],0.22001097107]
[[[ 0.62316764  0.14056447  0.50971487  0.15342997  0.28152764]],0.190615351004]
