[[[ 0.61883499  0.87990223  0.06429609  0.47625197  0.79269962]],20.2387128156]
[[[ 0.95689703  0.94981041  0.46761079  0.19658094  0.34712552]],26.7217921961]
[[[ 0.13470266  0.79540944  0.32218878  0.8904023   0.43822309]],33.0371819717]
[[[ 0.72639117  0.01524699  0.6044267   0.23612089  0.75144883]],40.9916485303]
[[[ 0.53172263  0.88085135  0.77681316  0.58212422  0.95756364]],20.0246586063]
[[[ 0.81860213  0.58696307  0.67396611  0.56235655  0.89501928]],20.2906763222]
[[[ 0.52178081  0.07461126  0.76818099  0.8546052   0.15526917]],59.9183426191]
[[[ 0.62599344  0.06134256  0.75707281  0.20271228  0.13565994]],46.5659235485]
[[[ 0.41913388  0.79079939  0.3478361   0.20825359  0.00704673]],50.6759342655]
[[[ 0.63647169  0.3475135   0.5824818   0.13497749  0.2619764 ]],23.9429735526]
[[[ 0.69246637  0.68289724  0.21354801  0.89552121  0.68044895]],20.4050108372]
[[[ 0.7586336   0.98025124  0.57578231  0.56675357  0.3823657 ]],24.3377716233]
[[[ 0.06322811  0.6088832   0.04979088  0.62713328  0.29531805]],51.3384105068]
[[[ 0.07267514  0.02086822  0.85474923  0.7768335   0.21645975]],9.48765176203]
[[[ 0.47022799  0.89250053  0.22352306  0.81835116  0.89716048]],23.2737026191]
[[[ 0.58256327  0.44544667  0.93861682  0.77247759  0.7057181 ]],20.2129791729]
[[[ 0.82031115  0.11641973  0.42760253  0.69952792  0.00643871]],37.2164034646]
[[[ 0.76446716  0.41054491  0.3485562   0.04871215  0.14727837]],29.0850405283]
[[[ 0.59919663  0.8687625   0.10139053  0.78494017  0.87259822]],21.1225455622]
[[[ 0.16225378  0.73166096  0.30323858  0.78571412  0.54971516]],30.5338779099]
[[[ 0.8331405   0.04657498  0.29841796  0.35403118  0.44708835]],20.0392828721]
[[[ 0.23628358  0.92200249  0.21191395  0.93544763  0.47754835]],28.3060354888]
[[[ 0.13856568  0.64804468  0.07139798  0.3419263   0.83641084]],30.3403251125]
[[[ 0.53584905  0.64497917  0.86380149  0.56968162  0.86882872]],20.0469412449]
[[[ 0.18653251  0.11702875  0.18320248  0.41484746  0.41767216]],20.6555678784]
[[[ 0.78956921  0.4966044   0.57265755  0.15687115  0.78747948]],20.3346689475]
[[[ 0.12441242  0.37993179  0.84832639  0.18559019  0.25850229]],32.0688600419]
[[[ 0.17420521  0.14552131  0.09189287  0.90613751  0.23602907]],26.9403582257]
[[[ 0.5023062   0.35237689  0.00460539  0.44081869  0.48865027]],29.3224209652]
[[[ 0.68153954  0.68035528  0.2540567   0.99522555  0.86945214]],20.2075966447]
[[[ 0.74141664  0.81855935  0.95063884  0.53283084  0.19875159]],28.5326923819]
[[[ 0.46565893  0.17859422  0.87728111  0.79806326  0.53291535]],44.6155364355]
[[[ 0.6614628   0.12789761  0.9598293   0.78752528  0.27369698]],70.8562651534]
[[[ 0.62398656  0.5624828   0.57878214  0.26123423  0.98956171]],20.2003465861]
[[[ 0.46669056  0.60988272  0.28631496  0.74592884  0.9046619 ]],20.2174551751]
[[[ 0.3304534   0.75083128  0.41912352  0.86632577  0.46423571]],23.7081616918]
[[[ 0.83741695  0.09035021  0.824523    0.67631682  0.5796931 ]],71.9195068806]
[[[ 0.68150256  0.76230149  0.15857234  0.99412303  0.32861917]],24.6204588957]
[[[ 0.08948278  0.47127294  0.79402994  0.14587089  0.98764688]],13.753962647]
[[[ 0.01602441  0.00628402  0.49821064  0.23550142  0.77868028]],8.82308877324]
[[[ 0.83423918  0.59056238  0.19749811  0.51569635  0.26911099]],26.8993437648]
[[[ 0.87523709  0.17311851  0.50318536  0.2195701   0.98709357]],19.0545795138]
[[[ 0.04692836  0.54618783  0.130793    0.52796013  0.67691073]],51.0789820463]
[[[ 0.28705215  0.31146117  0.7018813   0.57664587  0.87718325]],18.7122820898]
[[[ 0.386629    0.65252743  0.01303709  0.04242258  0.81104113]],21.0256028714]
[[[ 0.96430555  0.78693437  0.22588587  0.40298204  0.59017175]],21.796247815]
[[[ 0.7232767   0.39965256  0.74303959  0.2498812   0.96341748]],20.264296981]
[[[ 0.42316084  0.10347305  0.642335    0.31027802  0.82640045]],46.5382975016]
[[[ 0.68486477  0.72058708  0.86702278  0.58999919  0.46371839]],20.441358699]
[[[ 0.71726718  0.3161727   0.38550309  0.29308958  0.85263744]],20.483253024]
[[[ 0.39639402  0.76557546  0.75607569  0.03931799  0.23561159]],25.163489755]
[[[ 0.67244239  0.13456596  0.1534388   0.59098086  0.84363874]],20.6949042301]
[[[ 0.42748572  0.66032302  0.92961635  0.62504894  0.14057996]],25.6251242441]
[[[ 0.28279027  0.9203058   0.11189943  0.3811856   0.8043363 ]],28.3414886133]
[[[ 0.70984346  0.51393558  0.23347839  0.47496882  0.71044897]],20.4765432265]
[[[ 0.44931339  0.7363076   0.75836255  0.40676602  0.37489637]],20.4225683492]
[[[ 0.21482651  0.07435973  0.23169833  0.69238314  0.95395084]],20.7101200363]
[[[ 0.9984023   0.36614316  0.11391299  0.24697932  0.08105414]],36.8765092405]
