[[[ 0.61883499  0.87990223  0.06429609  0.47625197  0.79269962]],0.368669136565]
[[[ 0.95689703  0.94981041  0.46761079  0.19658094  0.34712552]],0.382160079953]
[[[ 0.13470266  0.79540944  0.32218878  0.8904023   0.43822309]],0.37406777944]
[[[ 0.72639117  0.01524699  0.6044267   0.23612089  0.75144883]],0.328212159731]
[[[ 0.53172263  0.88085135  0.77681316  0.58212422  0.95756364]],0.366893266514]
[[[ 0.81860213  0.58696307  0.67396611  0.56235655  0.89501928]],0.366799904398]
[[[ 0.52178081  0.07461126  0.76818099  0.8546052   0.15526917]],0.335049946116]
[[[ 0.62599344  0.06134256  0.75707281  0.20271228  0.13565994]],0.32238536478]
[[[ 0.41913388  0.79079939  0.3478361   0.20825359  0.00704673]],0.396012206468]
[[[ 0.63647169  0.3475135   0.5824818   0.13497749  0.2619764 ]],0.374429934711]
[[[ 0.69246637  0.68289724  0.21354801  0.89552121  0.68044895]],0.364579940402]
[[[ 0.7586336   0.98025124  0.57578231  0.56675357  0.3823657 ]],0.377045591101]
[[[ 0.06322811  0.6088832   0.04979088  0.62713328  0.29531805]],0.381601936902]
[[[ 0.07267514  0.02086822  0.85474923  0.7768335   0.21645975]],0.23723560642]
[[[ 0.47022799  0.89250053  0.22352306  0.81835116  0.89716048]],0.36206453071]
[[[ 0.58256327  0.44544667  0.93861682  0.77247759  0.7057181 ]],0.361214004729]
[[[ 0.82031115  0.11641973  0.42760253  0.69952792  0.00643871]],0.385757604495]
[[[ 0.76446716  0.41054491  0.3485562   0.04871215  0.14727837]],0.379753552975]
[[[ 0.59919663  0.8687625   0.10139053  0.78494017  0.87259822]],0.364602403953]
[[[ 0.16225378  0.73166096  0.30323858  0.78571412  0.54971516]],0.372870561463]
[[[ 0.8331405   0.04657498  0.29841796  0.35403118  0.44708835]],0.370396238139]
[[[ 0.23628358  0.92200249  0.21191395  0.93544763  0.47754835]],0.369458013866]
[[[ 0.13856568  0.64804468  0.07139798  0.3419263   0.83641084]],0.375704487591]
[[[ 0.53584905  0.64497917  0.86380149  0.56968162  0.86882872]],0.366153922047]
[[[ 0.18653251  0.11702875  0.18320248  0.41484746  0.41767216]],0.361919769984]
[[[ 0.78956921  0.4966044   0.57265755  0.15687115  0.78747948]],0.370259830991]
[[[ 0.12441242  0.37993179  0.84832639  0.18559019  0.25850229]],0.333532221699]
[[[ 0.17420521  0.14552131  0.09189287  0.90613751  0.23602907]],0.370477076901]
[[[ 0.5023062   0.35237689  0.00460539  0.44081869  0.48865027]],0.377806114099]
[[[ 0.68153954  0.68035528  0.2540567   0.99522555  0.86945214]],0.363335784013]
[[[ 0.74141664  0.81855935  0.95063884  0.53283084  0.19875159]],0.382315455835]
[[[ 0.46565893  0.17859422  0.87728111  0.79806326  0.53291535]],0.32984107781]
[[[ 0.6614628   0.12789761  0.9598293   0.78752528  0.27369698]],0.335078654599]
[[[ 0.62398656  0.5624828   0.57878214  0.26123423  0.98956171]],0.367648858256]
[[[ 0.46669056  0.60988272  0.28631496  0.74592884  0.9046619 ]],0.364887359068]
[[[ 0.3304534   0.75083128  0.41912352  0.86632577  0.46423571]],0.362996392201]
[[[ 0.83741695  0.09035021  0.824523    0.67631682  0.5796931 ]],0.351102699435]
[[[ 0.68150256  0.76230149  0.15857234  0.99412303  0.32861917]],0.376182987071]
[[[ 0.08948278  0.47127294  0.79402994  0.14587089  0.98764688]],0.324915355109]
[[[ 0.01602441  0.00628402  0.49821064  0.23550142  0.77868028]],0.230899651695]
[[[ 0.83423918  0.59056238  0.19749811  0.51569635  0.26911099]],0.378095539717]
[[[ 0.87523709  0.17311851  0.50318536  0.2195701   0.98709357]],0.36060429228]
[[[ 0.04692836  0.54618783  0.130793    0.52796013  0.67691073]],0.380783855698]
[[[ 0.28705215  0.31146117  0.7018813   0.57664587  0.87718325]],0.348826690756]
[[[ 0.386629    0.65252743  0.01303709  0.04242258  0.81104113]],0.385990198234]
[[[ 0.96430555  0.78693437  0.22588587  0.40298204  0.59017175]],0.3733009558]
[[[ 0.7232767   0.39965256  0.74303959  0.2498812   0.96341748]],0.36438543903]
[[[ 0.42316084  0.10347305  0.642335    0.31027802  0.82640045]],0.315931355595]
[[[ 0.68486477  0.72058708  0.86702278  0.58999919  0.46371839]],0.370080997518]
[[[ 0.71726718  0.3161727   0.38550309  0.29308958  0.85263744]],0.366209237176]
[[[ 0.39639402  0.76557546  0.75607569  0.03931799  0.23561159]],0.386171762833]
[[[ 0.67244239  0.13456596  0.1534388   0.59098086  0.84363874]],0.362850905084]
[[[ 0.42748572  0.66032302  0.92961635  0.62504894  0.14057996]],0.3783870369]
[[[ 0.28279027  0.9203058   0.11189943  0.3811856   0.8043363 ]],0.372239208261]
[[[ 0.70984346  0.51393558  0.23347839  0.47496882  0.71044897]],0.366637372601]
[[[ 0.44931339  0.7363076   0.75836255  0.40676602  0.37489637]],0.368300285206]
[[[ 0.21482651  0.07435973  0.23169833  0.69238314  0.95395084]],0.358818683457]
[[[ 0.9984023   0.36614316  0.11391299  0.24697932  0.08105414]],0.389130154278]
[[[ 0.59956273  0.12158244  0.696603    0.27616623  0.76809768]],0.340536306026]
[[[ 0.10929228  0.7174498   0.44539638  0.44622562  0.34900933]],0.374959009817]
[[[ 0.78010277  0.16146512  0.00875828  0.97013987  0.63507394]],0.375696606052]
[[[ 0.40643973  0.99775859  0.37418222  0.70517393  0.23614875]],0.378961341516]
[[[ 0.61896828  0.57144741  0.63068938  0.53341814  0.69335313]],0.366285564547]
[[[ 0.54932542  0.93770159  0.51343568  0.22234862  0.76176456]],0.368891721931]
[[[ 0.32133562  0.02555922  0.30175063  0.55982652  0.81450125]],0.351400612545]
[[[ 0.27120732  0.61911642  0.73452622  0.59974402  0.55796304]],0.364591165791]
[[[ 0.7040072   0.25399906  0.6900579   0.40270026  0.48293221]],0.354905814552]
[[[ 0.75191731  0.44320227  0.64479573  0.32403334  0.96803363]],0.367144306518]
[[[ 0.21496615  0.31769094  0.07016684  0.33792993  0.72240097]],0.361571339043]
[[[ 0.72955887  0.92325396  0.14320522  0.33788733  0.36870914]],0.378496826019]
[[[ 0.12838543  0.31294125  0.34166894  0.15405953  0.8944915 ]],0.363341522901]
[[[ 0.50464628  0.41023982  0.36230431  0.71137471  0.58453227]],0.364605350818]
[[[ 0.90869322  0.45926553  0.84503634  0.63731811  0.33472631]],0.372659351778]
[[[ 0.58555969  0.10974328  0.37982438  0.9481087   0.97620494]],0.360908933435]
[[[ 0.26205702  0.04056245  0.86375217  0.95889707  0.17948131]],0.275135123556]
[[[ 0.37214328  0.75774248  0.64243597  0.28501183  0.93845526]],0.366814950151]
[[[ 0.4956688   0.64055083  0.74479261  0.67844146  0.13004605]],0.381218980974]
[[[ 0.10507353  0.61844175  0.7329657   0.12545234  0.06185276]],0.37598717074]
[[[ 0.62316764  0.14056447  0.50971487  0.15342997  0.28152764]],0.342617740769]
[[[ 0.30615628  0.27441126  0.28264176  0.61087017  0.22111216]],0.364711181248]
[[[ 0.04067607  0.26577168  0.51213686  0.96888286  0.42724941]],0.368375795525]
[[[ 0.5  0.5  0.5  0.5  0.5]],0.365612654412]
[[[ 0.5  0.5  0.5  0.5  0.5]],0.365612654412]
[[[ 0.5  0.5  0.5  0.5  0.5]],0.358024657541]
[[[ 0.5  0.5  0.5  0.5  0.5]],0.358024657541]
[[[ 0.5  0.5  0.5  0.5  0.5]],0.358024657541]
[[[ 0.5  0.5  0.5  0.5  0.5]],0.358024657541]
[[[ 0.5  0.5  0.5  0.5  0.5]],0.358024657541]
[[[ 0.94444444  0.94444444  0.94444444  0.94444444  0.94444444]],0.360784259024]
[[[ 0.05555556  0.94444444  0.94444444  0.94444444  0.94444444]],0.375720647973]
[[[ 0.72222222  0.01851852  0.01851852  0.01851852  0.01851852]],0.394278534262]
[[[ 0.27777778  0.01851852  0.01851852  0.01851852  0.01851852]],0.366057594141]
[[[ 0.16666667  0.99382716  0.99382716  0.99382716  0.99382716]],0.371714380643]
[[[ 0.83744856  0.99794239  0.99794239  0.99794239  0.99794239]],0.360781295553]
[[[ 0.38477366  0.99931413  0.99931413  0.99931413  0.99931413]],0.359615093877]
[[[ 0.61111111  0.00617284  0.00617284  0.00617284  0.99382716]],0.401671297298]
[[[  4.46044810e-01   9.99771376e-01   9.99771376e-01   9.99771376e-01
    2.28623685e-04]],0.38951336322]
[[[  5.31550069e-01   2.28623685e-04   2.28623685e-04   2.28623685e-04
    9.99771376e-01]],0.403854555381]
[[[  9.99991532e-01   8.46754390e-06   8.46754390e-06   8.46754390e-06
    8.46754390e-06]],0.404490297042]
[[[  4.91312300e-01   9.99974597e-01   9.99974597e-01   9.99974597e-01
    2.54026317e-05]],0.389686900066]
[[[  8.90946502e-01   6.85871056e-04   6.85871056e-04   6.85871056e-04
    6.85871056e-04]],0.403653755212]
[[[  3.40877915e-01   2.28623685e-04   2.28623685e-04   2.28623685e-04
    9.99771376e-01]],0.39717295715]
[[[  4.76731189e-01   2.54026317e-05   2.54026317e-05   2.54026317e-05
    9.99974597e-01]],0.399570695161]
[[[ 0.80246067  0.11110264  0.11110264  0.11108571  0.99999153]],0.363445885922]
[[[  2.22146014e-01   7.62078951e-05   7.62078951e-05   7.62078951e-05
    7.62078951e-05]],0.39765635086]
[[[ 0.81091128  0.99999153  0.99999153  0.99999153  0.11110264]],0.38408648775]
[[[  8.46754390e-06   8.46754390e-06   8.46754390e-06   8.46754390e-06
    8.46754390e-06]],0.149901583635]
[[[ 0.5  0.5  0.5  0.5  0.5]],0.358024657541]
[[[ 0.5  0.5  0.5  0.5  0.5]],0.358024657541]
[[[ 0.5  0.5  0.5  0.5  0.5]],0.358024657541]
